post_tokens,toxic_tokens,post_label
"['as', 'the', 'catholic', 'church', 'today', 'meddles', 'in', 'usa', 'politics', 'by', 'trying', 'to', 'bring', 'in', 'mexican', 'immigrants', 'and', 'shielding', 'illegal', 'alien', 'mexicans', 'the', 'same', 'catholic', 'church', 'worked', 'hard', 'to', 'flood', 'the', 'usa', 'with', 'immigrants', '<number>', 'years', 'ago', 'catholics', 'were', 'the', 'first', 'great', 'destroyers', 'of', 'the', 'usa']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",offensive
"['<user>', 'you', 'are', 'cute', '😘', '💋']","[0, 0, 0, 0, 0, 0]",normal
"['twitter', 'is', 'agaisnt', 'all', 'non', 'muslim', 'holidays']","[0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'fell', 'for', 'the', 'great', 'white', 'hope', 'rhetoric', 'my', 'bad', 'he', 'better', 'than', 'obama', 'and', 'bush', 'et', 'all', 'idgaf', 'still', 'a', 'slimy', 'politician', 'piece', 'of', 'shit', 'also', 'dgaf', 'about', 'muzzies', 'and', 'kikes', 'i', 'do', 'not', 'want', 'american', 'lives', 'or', 'dollars', 'spent', 'on', 'any', 'of', 'those', 'fucking', 'parasites']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'it', 'did', 'not', 'work', 'with', 'the', 'leftists', 'this', 'year', 'now', 'did', 'it', 'people', 'do', 'not', 'respond', 'well', 'to', 'name', 'calling', 'not', 'being', 'retarded', 'or', 'anything', 'but', 'this', 'exactly', 'why', 'leftists', 'lost', 'this', 'year', 'and', 'we', 'do', 'not', 'want', 'to', 'be', 'them', 'in', 'the', 'next', 'time']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'do', 'i', 'look', 'like', 'a', 'faggot', 'basher', 'to', 'you', 'you', 'stupid', 'fucking', 'human', 'boy', 'you', 'have', 'got', 'a', 'mouth']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['can', 'not', 'help', 'but', 'feel', 'that', 'mexico', 'perhaps', 'unintentionally', 'or', 'perhaps', 'in', 'an', 'effort', 'to', 'stay', 'in', 'our', 'good', 'standing', 'trade', 'wise', 'let', 'a', 'caravan', 'of', 'illegal', 'immigrants', 'into', 'their', 'own', 'country', 'for', 'the', 'sole', 'purpose', 'of', 'justifying', 'the', 'border', 'wall']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['oddly', 'the', 'black', 'moslem', 'serial', 'killer', 'of', 'gays', 'in', '<number>', 'states', 'ali', 'mohamad', 'brown', 'got', 'less', 'coverage', 'than', 'the', 'lesbian', 'waitress', 'who', 'got', 'a', 'bad', 'tip', 'i', 'think', 'only', 'one', 'of', 'his', 'victims', 'was', 'white']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['chelsea', 'just', 'piss', 'on', 'me', 'handler', 'just', 'another', 'zhid', 'oxygen', 'abuser']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",hatespeech
"['white', 'girl', 'refrigerator', 'i', 'hate', 'you']","[0, 0, 0, 0, 0, 0]",normal
"['hello', 'erry1', 'is', 'this', 'truly', 'free', 'or', 'nah', 'testing', 'please', 'ignore', 'trump', 'drump', 'hillary', 'email', 'server', 'fuck', 'nigger', 'cunt', 'shit', 'alex', 'jones', 'swastika', 'white', 'power', 'hitler', 'edit', 'lovable']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",hatespeech
"['since', 'i', 'bitch', 'a', 'lot', 'about', 'women', 'in', 'my', 'posts', 'i', 'should', 'point', 'out', '<number>', 'women', 'that', 'i', 'admire', 'dr', 'sherri', 'tenpenny', 'has', 'courageously', 'warned', 'us', 'about', 'the', 'dangers', 'of', 'excessive', 'and', 'early', 'vaccination', 'despite', 'the', 'unimaginable', 'professional', 'ostracism', 'that', 'must', 'result', 'and', 'pamella', 'geller', 'has', 'been', 'warning', 'us', 'about']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['any', 'black', 'women', 'need', 'some', 'groceries', 'hit', 'me', 'here', 'or', 'in', 'the', 'dms', 'ima', 'choose', 'two', 'for', 'today', '❤', '️']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'did', 'not', 'own', 'any', 'slaves', 'my', 'ancestors', 'never', 'owned', 'a', 'slave', 'i', 'work', 'my', 'ass', 'off', 'for', 'every', 'dollar', 'i', 'get', 'so', 'shove', 'this', 'crap', 'up', 'your', 'bigoted', 'thieving', 'nigger', 'ass', 'ms', 'never', 'was', 'a', 'slave']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",hatespeech
"['o', 'this', 'white', 'gurl', 'liked', 'chocolate', 'dick']","[0, 0, 0, 0, 0, 0, 0]",normal
"['non', 'lesbians', 'stop', 'saying', 'dyke']","[0, 0, 0, 0, 1]",offensive
"['the', 'antifaggots', 'attacking', 'the', 'faggots', 'for', 'offending', 'the', 'boy', 'sodomising', 'moslem', 'faggots', 'the', 'leftie', 'sjws', 'shirt', 'lifters', 'islamofascists', 'are', 'now', 'cannabalising', 'each', 'other', 'pmsl']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['do', 'not', 'take', 'photos', 'of', 'that', 'kike', 'tire', 'expert', 'laura', 'loomer', 'and', 'put', 'them', 'into', 'that', 'makeup', 'removal', 'app', 'seriously', 'do', 'not', 'do', 'it', 'no', 'man', 'should', 'ever', 'be', 'subjected', 'to', 'such', 'a', 'hideous', 'sight', 'i', 'am', 'not', 'joking', 'either']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['this', 'is', 'when', 'she', 'remembered', 'the', 'ugly', 'bald', 'dyke', 'molesting', 'her']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",hatespeech
