post_tokens,toxic_tokens
"['i', 'dont', 'think', 'im', 'getting', 'my', 'baby', 'them', 'white', '9', 'he', 'has', 'two', 'white', 'j', 'and', 'nikes', 'not', 'even', 'touched']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['we', 'cannot', 'continue', 'calling', 'ourselves', 'feminists', 'if', 'the', 'rights', 'of', 'all', 'womxn', 'arent', 'addressed', 'yes', 'to', 'a', 'sexual', 'offences', 'public', 'list', 'but', 'will', 'a', 'trans', 'lesbian', 'bisexual', 'and', 'queer', 'womxn', 'be', 'able', 'to', 'enter', 'their', 'information', 'on', 'the', 'reporting', 'sheet', 'gender', 'forum']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['nawt', 'yall', 'niggers', 'ignoring', 'me']","[0, 0, 0, 0, 0]"
"['<user>', 'i', 'am', 'bit', 'confused', 'coz', 'chinese', 'ppl', 'can', 'not', 'access', 'twitter', 'thn', 'how', 'this', 'ching', 'chong', 'using', 'it', 'i', 'think', 'he', 'pakistani', '🤔', '🤔', '🤔']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['this', 'bitch', 'in', 'whataburger', 'eating', 'a', 'burger', 'with', 'no', 'top', 'bun', 'and', 'holding', 'it', 'palm', 'up', 'i', 'hate', 'white', 'bitches']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
"['laura', 'loomer', 'raped', 'me', 'while', 'screaming', 'at', 'me', 'in', 'her', 'disgusting', 'kike', 'language', 'and', 'said', 'we', 'must', 'exterminate', 'the', 'goyim', 'laura', 'loomer', 'loomergate']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
"['and', 'this', 'is', 'why', 'i', 'end', 'up', 'with', 'nigger', 'trainee', 'doctors', 'who', 'can', 'not', 'speak', 'properly', 'lack', 'basic', 'knowledge', 'of', 'biology', 'it', 'truly', 'scary', 'if', 'the', 'public', 'only', 'knew']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['nogs', 'jews', 'and', 'dykes', 'how', 'enriching']","[1, 1, 1, 1, 0, 0]"
"['guilty', 'until', 'proven', 'innocent', 'unless', 'you', 'are', 'a', 'jew', 'a', 'nigger', 'or', 'a', 'lover', 'of', 'both']","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"['tired', 'i', 'can', 'not', 'support', 'abortion', 'from', 'a', 'moral', 'standpoint', 'wired', 'i', 'can', 'support', 'it', 'morally', 'easy', 'stop', 'looking', 'at', 'those', 'little', 'niglets', 'as', 'future', 'doctors', 'and', 'see', 'them', 'for', 'what', 'they', 'really', 'are', 'future', 'rapists', 'of', 'white', 'women', 'and', 'future', 'welfare', 'recipient', 'of', 'white', 'tax', 'dollars', 'and', 'future', 'democrat', 'voters']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
