text,label
i dont think im getting my baby them white 9 he has two white j and nikes not even touched,normal
we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,normal
nawt yall niggers ignoring me,normal
<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,hatespeech
this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,hatespeech
laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,hatespeech
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,hatespeech
nogs jews and dykes how enriching,offensive
guilty until proven innocent unless you are a jew a nigger or a lover of both,hatespeech
tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,hatespeech
<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,hatespeech
tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,normal
<percent> cotton thigh highs to avoid contact with any gay chemicals,normal
oomf a <number> yearl old closet gay and obsessed with me someone help,normal
all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,offensive
fellas be careful she texting other niggas,normal
<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama,normal
<user> condoning drug use not kike at all thanks for that disclosure,offensive
<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,normal
anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,normal
lol what a stupid kike,hatespeech
why does anyone care what the albino nigger has to say,hatespeech
that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic,offensive
this sounds like a kike national socialist,hatespeech
only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,normal
if we could teach a giraffe to paint that would be one handy sumbitch,normal
smiling cuz i am young black rich and i am handsome,normal
sex be so good a bitch be slow stroking and crying,offensive
<user> <user> <user> with a room full of white folks,normal
